,status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares,content,candidate_label,classification
1212,15704546335_10154571621866336,"The former president of Mexico, Vicente Fox Quesada, says Donald J. Trump is using his visit to Mexico with President Enrique Peña Nieto to boost his sinking poll numbers. http://bit.ly/2bSwNos",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154571621866336/?type=3,2016-08-31 10:33:45,5219,14813,2253,president Mexico Vicente Fox Quesada   visit Mexico President Enrique Pe Nieto boost sinking poll numbers httpbitlybSwNos,trump,Neutral
1213,15704546335_10154571157731336,Do you think Donald J. Trump should go to Mexico and visit President Enrique Peña Nieto ahead of his immigration speech?,Trump Agrees to Meet with Mexican President,link,http://www.foxnews.com/politics/2016/08/31/trump-agrees-to-meet-with-mexican-president.html,2016-08-31 06:45:52,7856,3189,308,  Mexico visit President Enrique Pe Nieto ahead immigration speech,trump,Neutral
1214,15704546335_10154570115321336,"“It happens every four years when we suddenly hear from the celebrities from the comfort of their Malibu homes that if ‘so-and-so’ is elected president, that threatening celebrity is leaving the U.S. and that threat is apparently is supposed to upset YOU.” 

Greta Van Susteren slammed Barbra Streisand's threat to leave the country if Donald J. Trump gets elected, saying the singer-actress should ""give it a rest."" http://bit.ly/2bPLRQE",,video,https://www.facebook.com/FoxNews/videos/10154570115321336/,2016-08-31 05:00:00,52595,15202,17150,years suddenly hear celebrities comfort Malibu homes soandso elected president threatening celebrity leaving threat supposed upset Greta Van Susteren slammed Barbra Streisands threat leave country   elected singeractress rest httpbitlybPLRQE,trump,Negative
1215,15704546335_10154570189196336,"""I believe every child in this country – in Detroit, in Baltimore, in Chicago – has the right to live out their lives in safety and in peace.""

Donald J. Trump said he will fight for those suffering in the inner cities and asked ""what do you have to lose"" by voting for him.",,video,https://www.facebook.com/FoxNews/videos/10154570189196336/,2016-08-30 22:30:00,23950,1132,3196,child country Detroit Baltimore Chicago live lives safety peace  will fight suffering inner cities asked lose voting,trump,Neutral
1216,15704546335_10154570140341336,Donald J. Trump confirmed in a tweet that he will be meeting with President Enrique Peña Nieto in Mexico tomorrow. http://fxn.ws/2cdoYKP,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154570140341336/?type=3,2016-08-30 21:49:24,3747,685,362,  confirmed tweet will meeting President Enrique Pe Nieto Mexico tomorrow httpfxnwscdoYKP,trump,Neutral
1217,15704546335_10154570067826336,"Live: Donald J. Trump holds a rally in Everett, Washington.",,video,https://www.facebook.com/FoxNews/videos/10154570067826336/,2016-08-30 21:38:05,21645,27623,3621,Live   holds rally Everett Washington,trump,Neutral
1218,15704546335_10154569566751336,"Meghan McCain said she has one line in mind that she'd like to hear from Donald J. Trump at the first presidential debate: ""I just want him to say, I gave you money because I knew you could be bought.”",McCain: Trump Should Tell Hillary 'I Knew You Could Be Bought',link,http://insider.foxnews.com/2016/08/30/meghan-mccain-says-she-wants-hear-trump-say-hillary-1st-debate,2016-08-30 18:01:26,12542,1284,2520,Meghan McCain mind hear   presidential debate money knew bought,trump,Neutral
1221,15704546335_10154568149921336,Donald J. Trump criticized San Francisco 49ers quarterback Colin Kaepernick for his refusal to stand for the national anthem. http://fxn.ws/2bNNPAX,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154568149921336/?type=3,2016-08-30 06:56:17,36194,1639,3388,  criticized San Francisco ers quarterback Colin Kaepernick refusal stand national anthem httpfxnwsbNNPAX,trump,Neutral
1223,15704546335_10154567150106336,"Dr. Ben Carson said Democrats are trying to tie Donald J. Trump to groups like the Ku Klux Klan, but it will cause voters to wonder, ""who was the party of slavery? It was the Democratic Party.""",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154567150106336/?type=3,2016-08-29 22:15:01,16412,927,3437,Dr Ben Carson Democrats tie   groups Ku Klux Klan will voters wonder party slavery Democratic Party,trump,Neutral
1224,15704546335_10154566813706336,"Live Now: Donald J. Trump's running mate Mike Pence addresses supporters at a rally in Atlanta, Georgia.",,video,https://www.facebook.com/FoxNews/videos/10154566813706336/,2016-08-29 18:35:09,20761,15703,3044,Live  s running mate Mike Pence addresses supporters rally Atlanta Georgia,trump,Neutral
1225,15704546335_10154566311301336,"Donald J. Trump is speaking directly to African-American communities about how they've been failed by the Democratic Party, and that has Democrats worried, Herman Cain said on Fox & Friends today.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154566311301336/?type=3,2016-08-29 15:46:56,42065,1420,9864,  speaking directly AfricanAmerican communities theyve failed Democratic Party Democrats worried Herman Cain Fox Friends today,trump,Neutral
1226,15704546335_10154566242206336,"On Australia's 60 Minutes program, Barbra Streisand said she's out if Donald J. Trump becomes the 45th President of the United States. http://bit.ly/2c9zenf",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154566242206336/?type=3,2016-08-29 13:42:47,33697,62339,6955,Australias Minutes program Barbra Streisand   President United States httpbitlyczenf,trump,Neutral
1233,15704546335_10154562818816336,"""[Donald J. Trump] has stuck to his guns on the idea that we're going to have a border, we're going to enforce the border.""

Gov. Mike Huckabee joined Howard Kurtz on ""MediaBuzz"" today to react to the GOP presidential nominee ""softening"" his tone on immigration. http://bit.ly/2c6t6w5",,video,https://www.facebook.com/FoxNews/videos/10154562818816336/,2016-08-28 17:40:00,7803,581,885,  stuck guns idea going border going enforce borderGov Mike Huckabee joined Howard Kurtz MediaBuzz today react GOP presidential nominee softening tone immigration httpbitlyctw,trump,Positive
1239,15704546335_10154560694391336,"""Every time an African American citizen, or a Hispanic citizen, or any citizen, loses their job to an illegal immigrant, the rights of that American citizen have been totally violated.""

Yesterday, Donald J. Trump spoke to a crowd in Iowa about the costs of illegal immigration.",,video,https://www.facebook.com/FoxNews/videos/10154560694391336/,2016-08-28 08:00:00,39189,2141,8812,time African American citizen Hispanic citizen citizen loses job illegal immigrant rights American citizen totally violatedYesterday   spoke crowd Iowa costs illegal immigration,trump,Neutral
1241,15704546335_10154560445581336,"“Similarities between Donald Trump and Harry Potter’s nemesis, Lord Voldemort, have not gone without notice during the 2016 campaign,"" wrote Professor Diana Mutz.",BIAS ALERT: Trump Compared to Harry Potter Villain in UPenn Prof's Study,link,http://www.foxnews.com/us/2016/08/25/trump-compared-to-harry-potter-villain-in-upenn-profs-study.html,2016-08-28 03:00:00,798,2759,232,Similarities   Harry Potter nemesis Lord Voldemort notice campaign wrote Professor Diana Mutz,trump,Negative
1242,15704546335_10154560388841336,"“It is unacceptable that the State Department is now refusing to release her official schedule before the election in full,” Donald J. Trump campaign spokesman Jason Miller said.","Trump, GOP Calls On Clinton to Have Full State Dept Schedule Released",link,http://www.foxnews.com/politics/2016/08/27/clintons-full-state-dept-schedule-wont-be-released-until-after-election-day.html,2016-08-28 00:20:00,6803,1497,1165,unacceptable State Department refusing release official schedule election full   campaign spokesman Jason Miller,trump,Neutral
1247,15704546335_10154559821781336,"""I'm not a huge Trump supporter, but he is right when it comes to Democrat policies. Just look at what has happened to the black community under Obama."" – Jennifer Burke",,video,https://www.facebook.com/FoxNews/videos/10154559821781336/,2016-08-27 19:00:03,42174,1541,20082,huge  supporter Democrat policies happened black community Obama Jennifer Burke,trump,Neutral
1249,15704546335_10154560361541336,"""We shouldn't be talking about, 'What is Donald Trump going to do for the African American community?' We should be talking about what Donald Trump, when he becomes president, is going to do for the United States of America, every race."" – Pastor Mark Burns",,video,https://www.facebook.com/FoxNews/videos/10154560361541336/,2016-08-27 17:00:00,66189,2581,15804,shouldnt talking   going African American community talking   president going United States America race Pastor Mark Burns,trump,Neutral
1250,15704546335_10154560709461336,"""Sarah's life cannot be just another life that was lost because of the Obama Administration.""

At a rally in Iowa today, Donald J. Trump invited up to the stage the family of Sarah Root, a young woman who was killed by an illegal immigrant.",,video,https://www.facebook.com/FoxNews/videos/10154560709461336/,2016-08-27 16:20:00,20347,1276,8173,Sarahs life life lost Obama AdministrationAt rally Iowa today   invited stage family Sarah Root young woman killed illegal immigrant,trump,Neutral
1251,15704546335_10154560417341336,"Donald J. Trump, Sen. Joni Ernst, and others campaign in Iowa at the Iowa senator's second annual Roast and Ride.",,video,https://www.facebook.com/FoxNews/videos/10154560417341336/,2016-08-27 14:02:56,13171,14681,1677,  Sen Joni Ernst campaign Iowa Iowa senators second annual Roast Ride,trump,Neutral
1252,15704546335_10154560122246336,"Pastor Mark Burns says that Donald J. Trump understands the issues facing minority communities, particularly education, and that's why he will do well with those demographics in November. http://bit.ly/2bpaCFJ",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154560122246336/?type=3,2016-08-27 13:15:00,29784,1539,4353,Pastor Mark Burns   understands issues facing minority communities education will well demographics November httpbitlybpaCFJ,trump,Neutral
1271,15704546335_10154555632306336,"""Donald Trump is not a racist.""

Today, in front of Trump Tower, Donald J. Trump supporter Pastor Mark Burns fought back after an illegal immigrant activist tried to shout him down.",,video,https://www.facebook.com/FoxNews/videos/10154555632306336/,2016-08-25 15:45:00,38314,12032,20682,  racistToday front  Tower   supporter Pastor Mark Burns fought illegal immigrant activist shout,trump,Neutral
1274,15704546335_10154555275661336,"Live: Donald J. Trump holds a rally in Manchester, New Hampshire.",,video,https://www.facebook.com/FoxNews/videos/10154555275661336/,2016-08-25 13:11:11,16391,22212,2205,Live   holds rally Manchester Hampshire,trump,Neutral
1277,15704546335_10154553635786336,"On ""Hannity,"" Mayor Rudy Giuliani criticized Republicans who are not supporting Donald J. Trump, saying Trump's proposals are things the party stands for, like stopping illegal immigration.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154553635786336/?type=3,2016-08-25 04:00:02,12982,981,1767,Hannity Mayor Rudy Giuliani criticized Republicans supporting   s proposals things party stands stopping illegal immigration,trump,Neutral
1279,15704546335_10154552894566336,Meghan McCain warned Donald J. Trump of softening his stance on illegal immigration. Do you agree or disagree with her comments? http://bit.ly/2bgkdBo,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154552894566336/?type=3,2016-08-25 00:30:01,3194,2751,176,Meghan McCain warned   softening stance illegal immigration agree disagree comments httpbitlybgkdBo,trump,Neutral
1281,15704546335_10154553282851336,"""We want the ones that want to love us, not the ones who want to create problems.""

Donald J. Trump spoke about his plan to secure the border and stop the flow of illegal immigration, saying we need a stronger vetting process for those coming into the country. http://bit.ly/2bQDmGJ",,video,https://www.facebook.com/FoxNews/videos/10154553282851336/,2016-08-24 21:46:30,14017,859,2523,love create problems  spoke plan secure border flow illegal immigration stronger vetting process coming country httpbitlybQDmGJ,trump,Neutral
1283,15704546335_10154553193066336,"Live: Donald J. Trump holds a rally in Jackson, Mississippi.",,video,https://www.facebook.com/FoxNews/videos/10154553193066336/,2016-08-24 19:08:24,22922,28792,4295,Live   holds rally Jackson Mississippi,trump,Neutral
1286,15704546335_10154552502736336,"Watch: Donald J. Trump holds a campaign rally in Tampa, Florida.",,video,https://www.facebook.com/FoxNews/videos/10154552502736336/,2016-08-24 13:09:25,20015,28395,3770,Watch   holds campaign rally Tampa Florida,trump,Neutral
1287,15704546335_10154552385566336,This moment from last night's town hall with Donald J. Trump and Sean Hannity got a HUGE reaction. http://bit.ly/2bTVZvy,,video,https://www.facebook.com/FoxNews/videos/10154552385566336/,2016-08-24 11:57:15,15048,843,3472,moment nights town hall   Sean Hannity HUGE reaction httpbitlybTVZvy,trump,Neutral
1290,15704546335_10154549942826336,The Trump sandwich featured two slices of white bread between a pile of bologna and surrounded by a wall of tortilla chips with Ranch dressing and a tiny pickle on the side.,Canadian Deli Drops Donald Trump-Themed Bologna Sandwich After Receiving Threats,link,http://www.foxnews.com/leisure/2016/08/22/canadian-deli-drops-donald-trump-themed-boloney-sandwich-after-receiving/,2016-08-24 02:00:00,1691,1990,433, sandwich featured slices white bread pile bologna surrounded wall tortilla chips Ranch dressing tiny pickle side,trump,Neutral
1291,15704546335_10154550359091336,"In the piece, Philip Kennicott casts Trump as a Putin-esque authoritarian who could be waiting to grab the arts world by the throat. He says Trump has “deployed authoritarian language more consistently than any major political figure in memory.”",BIAS ALERT: Washington Post Art Critic Sketches Dystopian Vision of Arts Under Trump,link,http://www.foxnews.com/politics/2016/08/23/bias-alert-washington-post-art-critic-sketches-dystopian-vision-arts-under-trump.html,2016-08-23 23:30:00,438,725,42,piece Philip Kennicott casts  Putinesque authoritarian waiting grab arts throat  deployed authoritarian language consistently major political figure memory,trump,Negative
1294,15704546335_10154550765821336,"Live: Donald J. Trump holds a campaign rally in Austin, TX.",,video,https://www.facebook.com/FoxNews/videos/10154550765821336/,2016-08-23 20:06:00,38273,48673,7002,Live   holds campaign rally Austin TX,trump,Neutral
1297,15704546335_10154549990556336,Donald J. Trump has pointed to examples like this to garner support for stricter vetting practices.,"U.S. Visa Forms Don’t Ask About ISIS Support, But Question Nazi Affiliation",link,http://insider.foxnews.com/2016/08/23/visa-forms-don%E2%80%99t-ask-about-isis-support-question-nazi-affiliation,2016-08-23 17:36:14,5488,824,3598,  pointed examples garner support stricter vetting practices,trump,Neutral
1298,15704546335_10154549588096336,Donald J. Trump on President Barack Obama's visit to Louisiana today:,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154549588096336/?type=3,2016-08-23 11:24:06,29501,2100,1727,  President Barack Obamas visit Louisiana today,trump,Neutral
1301,15704546335_10154548178641336,"Donald J. Trump said police are afraid to do their jobs because they can do ""200,000 great acts"" unnoticed but one bad one will be on the news for weeks.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154548178641336/?type=3,2016-08-23 05:00:00,26533,1241,2786,  police afraid jobs great acts unnoticed bad will news weeks,trump,Neutral
1302,15704546335_10154547613496336,"Olympian Ryan Lochte behaved like an ugly American and then lied about it, so he must be a Trump supporter, right? Media outlets led by the Huffington Post have decided so.","BIAS ALERT: Media Links Lochte, Trump - Even Though Swimmer Supported Obama",link,http://www.foxnews.com/us/2016/08/22/bias-alert-media-links-lochte-trump-even-though-swimmer-supported-obama.html,2016-08-23 00:15:00,3183,3651,1523,Olympian Ryan Lochte behaved ugly American lied  supporter Media outlets led Huffington Post decided,trump,Neutral
1306,15704546335_10154548086316336,"""They can do 200,000 great acts ... and one bad one – whether it's  bad or it's a mistake – and it's on the evening news for two weeks."" 

Donald J. Trump said police are no longer respected in this country, and if he's elected he will be a ""cheerleader"" for law enforcement. http://bit.ly/2bKZwtV",,video,https://www.facebook.com/FoxNews/videos/10154548086316336/,2016-08-22 19:46:38,26115,970,4404,great acts bad bad mistake evening news weeks   police longer respected country elected will cheerleader law enforcement httpbitlybKZwtV,trump,Neutral
1307,15704546335_10154547798601336,"Live: Donald J. Trump addresses supporters in Akron, Ohio.",,video,https://www.facebook.com/FoxNews/videos/10154547798601336/,2016-08-22 17:54:39,24351,19212,4248,Live   addresses supporters Akron Ohio,trump,Neutral
1312,15704546335_10154544200816336,"""The sanctity of life, religious liberty are going to be decided by the Supreme Court.""

Pastor Robert Jeffress said that Donald J. Trump can drive up the religious vote by emphasizing the importance of the Supreme Court and the fact that the next president will appoint at least two - and possibly four - justices. http://bit.ly/2bVpTAy",,video,https://www.facebook.com/FoxNews/videos/10154544200816336/,2016-08-22 04:00:00,12509,682,3532,sanctity life religious liberty going decided Supreme CourtPastor Robert Jeffress   drive religious vote emphasizing Supreme Court fact president will appoint justices httpbitlybVpTAy,trump,Neutral
1313,15704546335_10154544304841336,"""I'm disgusted by the fact that the Commander-in-Chief of the United States couldn't be bothered to hop on Air Force One to fly down there.""

On ""Sunday Morning Futures,"" Eric Trump slammed President Obama's response to the flooding in Louisiana.",,video,https://www.facebook.com/FoxNews/videos/10154544304841336/,2016-08-22 03:00:00,19320,1649,3711,disgusted fact CommanderinChief United States bothered hop Air Force fly thereOn Sunday Morning Futures Eric  slammed President Obamas response flooding Louisiana,trump,Neutral
1317,15704546335_10154543945326336,"Donald J. Trump absolutely has not changed his mind on illegal immigration, Sen. Jeff Sessions said on ""FOX & Friends Weekend"" today. http://bit.ly/2bGtu1i",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154543945326336/?type=3,2016-08-21 20:00:00,13945,596,1928,  absolutely changed mind illegal immigration Sen Jeff Sessions FOX Friends Weekend today httpbitlybGtui,trump,Neutral
1319,15704546335_10154544377851336,"""Vote for me. What do you have to lose?""

Donald J. Trump called into ""Justice"" last night to discuss his campaign's recent attempts at winning over minority voters. http://bit.ly/2b9E8Mw",Trump: African Americans Have Been 'Mistreated & Abused' by Dem Politicians,link,http://bit.ly/2b9E8Mw,2016-08-21 18:00:00,15551,1352,2866,Vote lose  called Justice night discuss campaigns attempts winning minority voters httpbitlybEMw,trump,Neutral
1321,15704546335_10154544412846336,Do you agree with Eric Trump?,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154544412846336/?type=3,2016-08-21 15:40:06,68316,5223,7904,agree Eric ,trump,Neutral
1325,15704546335_10154543916391336,"""First and foremost, an immigration system should protect and serve the interests of the American people.""

Donald J. Trump absolutely has not changed his mind on illegal immigration, Sen. Jeff Sessions said on ""FOX & Friends Weekend"" today.",Trump Campaign Hits Back at Report of Border Policy Reversal,link,http://insider.foxnews.com/2016/08/21/donald-trump-campaign-refutes-report-border-policy-reversal,2016-08-21 09:32:00,4418,414,772,foremost immigration system protect serve interests American people  absolutely changed mind illegal immigration Sen Jeff Sessions FOX Friends Weekend today,trump,Neutral
1327,15704546335_10154542142091336,Do you agree with Donald J. Trump? http://bit.ly/2b633oE,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154542142091336/?type=3,2016-08-20 20:40:02,40023,2170,5555,agree   httpbitlyboE,trump,Neutral
1328,15704546335_10154541276291336,"Republican presidential candidate Donald J. Trump comforts flood victim Olive Gordan with her husband Jimmy, right, during a tour of their flood-damaged home in Denham Springs, La. http://fxn.ws/2bmWkFf",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154541276291336/?type=3,2016-08-20 19:00:00,18512,1040,1609,Republican presidential candidate   comforts flood victim Olive Gordan husband Jimmy tour flooddamaged Denham Springs La httpfxnwsbmWkFf,trump,Neutral
1329,15704546335_10154542075051336,"Today, Dr. Ben Carson discussed Donald J. Trump's policies for lifting people out of poverty.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154542075051336/?type=3,2016-08-20 16:00:03,39734,1020,8623,Today Dr Ben Carson discussed  s policies lifting people poverty,trump,Neutral
1330,15704546335_10154541273216336,"A sign placed by resident Doug Ford welcomes Republican presidential candidate Donald J. Trump in St. Amant, La. http://fxn.ws/2bmWkFf",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154541273216336/?type=3,2016-08-20 14:25:00,24047,702,2037,sign resident Doug Ford welcomes Republican presidential candidate   St Amant La httpfxnwsbmWkFf,trump,Neutral
1331,15704546335_10154541640906336,"Some Donald J. Trump fundraiser attendees were reportedly pushed and jostled, spit on and verbally harassed by protesters as they left the event.","Report: Aggressive Protesters Push, Spit on Trump Supporters at Fundraiser",link,http://insider.foxnews.com/2016/08/20/report-protesters-push-spit-trump-supporters-minnesota-fundraiser,2016-08-20 12:15:00,4856,8691,13242,  fundraiser attendees reportedly pushed jostled spit verbally harassed protesters left event,trump,Neutral
1334,15704546335_10154539636406336,"""What do you have to lose by trying something new like Trump?""

At a rally in Dimondale, Michigan, yesterday, Donald J. Trump made a bold appeal for African American support.",,video,https://www.facebook.com/FoxNews/videos/10154539636406336/,2016-08-20 07:00:00,22016,1806,3369,lose At rally Dimondale Michigan yesterday   bold appeal African American support,trump,Neutral
1337,15704546335_10154540186441336,"""I'm very much for legal immigration, if you want to become an American. But I am not for somebody who comes here whose goal is to subvert and destroy the Constitution.""

Newt Gingrich said Donald J. Trump's focus on extreme vetting has raised the core question of what is, at its heart, an ideological war.",,video,https://www.facebook.com/FoxNews/videos/10154540186441336/,2016-08-19 22:00:00,21974,717,4449,legal immigration American goal subvert destroy ConstitutionNewt Gingrich  s focus extreme vetting raised core question heart ideological war,trump,Neutral
1339,15704546335_10154539867046336,"""We need the kind of leadership that will begin to bring people together. We're not each other's enemies, and just stop stoking those flames of division.""

Dr. Ben Carson addressed Donald J. Trump's trip to flood-ravaged Louisiana while the President remained on vacation, saying ""we must begin to care about each other.""",,video,https://www.facebook.com/FoxNews/videos/10154539867046336/,2016-08-19 18:42:40,41434,2074,14228,kind leadership will bring people enemies stoking flames divisionDr Ben Carson addressed  s trip floodravaged Louisiana President remained vacation care,trump,Neutral
1341,15704546335_10154539584101336,"""Obama ought to get off the golf course and get down there."" – Donald J. Trump",,video,https://www.facebook.com/FoxNews/videos/10154539584101336/,2016-08-19 16:10:06,45498,2392,11645,Obama golf course  ,trump,Neutral
1342,15704546335_10154539517471336,"Live Now: Donald J. Trump addresses supporters in Dimondale, Michigan.",,video,https://www.facebook.com/FoxNews/videos/10154539517471336/,2016-08-19 16:03:29,28786,33702,5213,Live   addresses supporters Dimondale Michigan,trump,Neutral
1343,15704546335_10154539310221336,"""Thank you for coming, Mr. Trump,"" one woman called out.

""We knew you would be here for us!"" another added.",'You're Going to Rebuild': Trump Consoles Louisiana Flood Victims,link,http://insider.foxnews.com/2016/08/19/donald-trump-and-mike-pence-console-louisiana-flood-victims,2016-08-19 14:40:00,74735,3506,21100,coming  woman called outWe knew,trump,Neutral
1344,15704546335_10154539025001336,"“It would appear that you thought that you were outsmarting me when you put the sign on the tree … There is no way that a Trump supporter can outsmart anyone,” the note read.",Thief Leaves Nasty Note After Man’s Third Trump Sign Stolen,link,http://insider.foxnews.com/2016/08/19/thief-leaves-nasty-note-after-stealing-mans-trump-sign-tree,2016-08-19 14:00:00,4748,7987,4618,appear thought outsmarting sign tree  supporter outsmart note read,trump,Neutral
1345,15704546335_10154539148191336,"""I hope everyone in Louisiana knows that our country is praying for them, and standing with them to help them in these difficult hours.""  –Donald J. Trump

Donald Trump and Mike Pence arrived in Louisiana this morning to visit the flood-damaged areas of Baton Rouge. http://fxn.ws/2bjLOyi",,video,https://www.facebook.com/FoxNews/videos/10154539148191336/,2016-08-19 13:20:00,93930,5300,27149,hope Louisiana country praying standing help difficult hours    Mike Pence arrived Louisiana morning visit flooddamaged areas Baton Rouge httpfxnwsbjLOyi,trump,Neutral
1346,15704546335_10154538616226336,"Speaking to Bill Hemmer, Eric Trump slammed President Obama for not visiting Louisiana in the wake of historic flooding. http://bit.ly/2brlhBI",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154538616226336/?type=3,2016-08-19 09:30:00,41846,3740,7394,Speaking Bill Hemmer Eric  slammed President Obama visiting Louisiana wake historic flooding httpbitlybrlhBI,trump,Neutral
1347,15704546335_10154538613546336,Breaking News: Paul Manafort has resigned from the Donald J. Trump campaign. http://fxn.ws/2bPjJC7,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154538613546336/?type=3,2016-08-19 09:05:28,1037,822,370,Breaking News Paul Manafort resigned   campaign httpfxnwsbPjJC,trump,Neutral
1348,15704546335_10154537500156336,"""The American people love to hear somebody say 'I was wrong, let's move on.'"" — Bill Bennett

What did you make of Donald J. Trump’s expression of regret for some of his comments in his speech tonight?",,video,https://www.facebook.com/FoxNews/videos/10154537500156336/,2016-08-19 04:00:00,7782,1052,735,American people love hear wrong move Bill BennettWhat   expression regret comments speech tonight,trump,Neutral
1349,15704546335_10154537351276336,"""Donald J. Trump's going to win, because in the end the country's not going to reward big banks and big unions and big bureaucracies and big donors and big corruption by voting for a big liar."" –Newt Gingrich",,video,https://www.facebook.com/FoxNews/videos/10154537351276336/,2016-08-18 22:00:01,43963,2506,16053, s going win countrys going reward big banks big unions big bureaucracies big donors big corruption voting big liar Newt Gingrich,trump,Neutral
1350,15704546335_10154537313696336,"“We are one nation. When one state hurts, we all hurt.”

Republican presidential candidate Donald J. Trump and running mate Mike Pence will visit flood-damaged areas of Baton Rouge, Louisiana, on Friday. http://fxn.ws/2bjLOyi",,video,https://www.facebook.com/FoxNews/videos/10154537313696336/,2016-08-18 21:12:57,48403,2202,13240,nation state hurts hurt Republican presidential candidate   running mate Mike Pence will visit flooddamaged areas Baton Rouge Louisiana Friday httpfxnwsbjLOyi,trump,Neutral
1351,15704546335_10154537287516336,"""Sometimes in the heat of debate ... you don't choose the right words or you say the wrong thing. I have done that.""

Donald J. Trump said he regrets where his comments ""may have caused personal pain.""",,video,https://www.facebook.com/FoxNews/videos/10154537287516336/,2016-08-18 19:25:30,39663,3992,13351,heat debate dont choose wrong thing that  regrets comments caused personal pain,trump,Neutral
1352,15704546335_10154537199866336,Live Now: Donald J. Trump addresses supporters at a rally in Charlotte.,,video,https://www.facebook.com/FoxNews/videos/10154537199866336/,2016-08-18 18:46:03,29590,34866,8280,Live   addresses supporters rally Charlotte,trump,Neutral
1354,15704546335_10154536283591336,A Harvard University professor is defending Donald J. Trump's immigration plan.,Harvard Professor Defends Trump's 'Extreme Vetting',link,http://insider.foxnews.com/2016/08/18/american-apple-pie-harvard-professor-defends-trumps-extreme-vetting,2016-08-18 15:03:12,56864,1296,22140,Harvard University professor defending  s immigration plan,trump,Neutral
1356,15704546335_10154536381881336,Donald J. Trump's running mate Mike Pence holds a town hall.,,video,https://www.facebook.com/FoxNews/videos/10154536381881336/,2016-08-18 13:07:26,13286,9199,1794, s running mate Mike Pence holds town hall,trump,Neutral
1357,15704546335_10154535929791336,The restaurant came under fire for putting up a billboard that referenced Donald J. Trump's campaign promise to build a wall between the U.S. and Mexico border.,Indiana Restaurant Removing Mexican 'Wall' Billboards Amid Backlash,link,http://latino.foxnews.com/latino/news/2016/08/18/indiana-restaurant-removing-mexican-wall-billboards-amid-backlash/,2016-08-18 12:16:37,11393,4403,2200,restaurant fire putting billboard referenced  s campaign promise build wall Mexico border,trump,Neutral
1360,15704546335_10154534213066336,"""Why can't we just be quiet and do the job?"" 

Donald J. Trump criticized the President's choice to announce a date for the drawdown in Iraq, saying it gave ISIS and other terror groups the opportunity to strengthen in our absence.",,video,https://www.facebook.com/FoxNews/videos/10154534213066336/,2016-08-18 05:00:00,18152,1302,3252,cant quiet job   criticized Presidents choice drawdown Iraq ISIS terror groups opportunity strengthen absence,trump,Neutral
1361,15704546335_10154534292636336,"""When is someone's opinion on a public figure something that is jail-worthy and not First Amendment protected?"" 

Glenn Beck said Donald J. Trump criticism of the media has encouraged his supporters to call for their incarceration.",,video,https://www.facebook.com/FoxNews/videos/10154534292636336/,2016-08-18 03:00:00,1777,4731,354,someones opinion public figure jailworthy Amendment protected Glenn Beck   criticism media encouraged supporters call incarceration,trump,Neutral
1362,15704546335_10154534111606336,"Donald J. Trump said ""our country is going to hell"" with infrastructure problems while we pay for overseas conflicts. Do you agree?",,video,https://www.facebook.com/FoxNews/videos/10154534111606336/,2016-08-17 22:05:00,23942,2073,4161,  country going hell infrastructure problems pay overseas conflicts agree,trump,Neutral
1363,15704546335_10154534416046336,"""How someone can even raise that question ... when we have a candidate in the Democratic party that we have trusted with national security information and she was ... 'extremely careless' – it's absurd.""

Mayor Rudy Giuliani responded to critics who ask if Donald J. Trump can be trusted with intelligence briefings.",,video,https://www.facebook.com/FoxNews/videos/10154534416046336/,2016-08-17 19:15:00,16782,1182,4720,raise question candidate Democratic party trusted national security extremely careless absurdMayor Rudy Giuliani responded critics   trusted intelligence briefings,trump,Neutral
